Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
1,702,1,Mar 20,LAD,@,SDP,W5-2,CG,5,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,.400,.400,.400,.800,2,1.20,-0.031,1.20,-0.02%,0.32,13.00,15.50,DH
2,703,2,Mar 21,LAD,,SDP,L11-15,CG,6,5,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,.300,.273,.300,.573,2,1.36,-0.174,1.44,-0.11%,-0.92,7.00,9.70,DH
3,704,3,Mar 28,LAD,,STL,W7-1,CG,4,3,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,.385,.400,.462,.862,2,.53,0.031,.50,0.02%,0.33,12.00,15.20,DH
4,705,4,Mar 29,LAD,,STL,W6-3,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.294,.316,.353,.669,2,.34,-0.044,.34,-0.03%,-1.65,0.00,0.00,DH
5,706,5,Mar 30,LAD,,STL,L5-6,CG(10),6,5,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.273,.320,.318,.638,2,3.36,-0.359,3.40,-0.22%,-0.95,7.00,9.20,DH
6,707,6,Mar 31,LAD,,STL,W5-4,CG,4,4,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.269,.310,.346,.656,2,.76,-0.013,.74,-0.01%,0.10,7.00,9.20,DH
7,708,7,Apr 1,LAD,,SFG,W8-3,CG,4,4,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.267,.303,.367,.670,2,.62,0.058,.66,0.04%,0.26,9.00,12.70,DH
8,709,8,Apr 2,LAD,,SFG,W5-4,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.242,.297,.333,.631,2,1.04,-0.084,1.23,-0.06%,-0.80,2.00,3.00,DH
9,710,9,Apr 3,LAD,,SFG,W5-4,CG,4,4,2,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.270,.317,.432,.750,2,.80,0.108,.93,0.08%,0.77,19.00,24.90,DH
10,711,10,Apr 5,LAD,@,CHC,L7-9,CG,5,5,2,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,.286,.326,.524,.850,2,.98,0.071,1.11,0.05%,1.18,23.00,31.40,DH
11,712,11,Apr 6,LAD,@,CHC,W4-1,CG,5,4,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.304,.353,.522,.875,2,.89,0.085,1.00,0.06%,0.78,10.00,12.20,DH
12,713,12,Apr 7,LAD,@,CHC,L1-8,CG,4,4,0,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,.320,.364,.580,.944,2,.24,-0.019,.28,-0.01%,1.07,15.00,18.50,DH
13,714,13,Apr 8,LAD,@,MIN,W4-2,CG,5,5,2,3,2,0,1,1,0,0,1,0,0,0,0,0,0,0,.345,.383,.673,1.056,2,.83,0.327,.90,0.21%,2.34,26.00,33.90,DH
14,715,14,Apr 9,LAD,@,MIN,W6-3,CG,5,5,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.333,.369,.650,1.019,2,.59,-0.034,.63,-0.02%,-1.74,5.00,6.00,DH
15,716,15,Apr 10,LAD,@,MIN,L2-3,CG,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.333,.377,.635,1.012,2,1.33,0.013,1.48,0.01%,0.41,5.00,6.00,DH
16,717,16,Apr 12,LAD,,SDP,L7-8,CG(11),5,5,1,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,.353,.392,.706,1.098,2,.85,0.127,1.07,0.10%,1.77,24.00,30.70,DH
17,718,17,Apr 13,LAD,,SDP,W5-2,CG,5,2,0,0,0,0,0,1,2,0,0,0,0,1,0,0,1,0,.343,.392,.686,1.078,2,.98,0.044,1.21,0.03%,0.04,11.00,15.50,DH
18,719,18,Apr 14,LAD,,SDP,L3-6,CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.338,.386,.662,1.048,2,.80,-0.013,1.00,-0.01%,-0.35,3.00,3.00,DH
19,720,19,Apr 15,LAD,,WSN,L4-6,CG,4,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,.338,.384,.649,1.033,2,1.15,0.019,1.31,0.01%,0.56,12.00,15.40,DH
20,721,20,Apr 16,LAD,,WSN,W6-2,CG,5,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.341,.385,.634,1.019,2,.89,-0.040,.99,-0.03%,-0.71,6.00,6.00,DH
21,722,21,Apr 17,LAD,,WSN,L0-2,CG,4,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.360,.400,.640,1.040,2,1.00,0.103,1.10,0.07%,0.72,14.00,15.00,DH
22,723,22,Apr 19,LAD,,NYM,L4-9,CG,5,4,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,.356,.400,.622,1.022,2,.86,0.068,.98,0.05%,0.78,14.00,18.70,DH
23,724,23,Apr 20,LAD,,NYM,L4-6,CG,5,2,1,1,1,0,0,0,3,0,1,0,0,0,0,0,0,0,.359,.419,.630,1.049,2,2.00,0.094,2.13,0.06%,0.55,13.00,18.20,DH
24,725,24,Apr 21,LAD,,NYM,W10-0,GS-8,4,3,2,2,0,0,1,2,1,0,1,0,0,0,0,0,0,0,.368,.431,.663,1.094,2,.65,0.195,.67,0.12%,2.66,23.00,31.40,DH
25,726,25,Apr 23,LAD,@,WSN,W4-1,CG,5,4,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.364,.430,.677,1.107,2,.94,-0.032,1.00,-0.02%,0.34,16.00,21.70,DH
26,727,26,Apr 24,LAD,@,WSN,W11-2,CG,6,6,2,3,3,0,0,2,0,0,1,0,0,0,0,1,0,0,.371,.433,.695,1.129,2,.43,-0.012,.46,-0.01%,1.27,23.00,31.40,DH
27,728,27,Apr 25,LAD,@,WSN,W2-1,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,.358,.419,.670,1.089,2,1.22,-0.225,1.35,-0.15%,-2.25,0.00,0.00,DH
28,729,28,Apr 26,LAD,@,TOR,W12-2,GS-9,5,4,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.354,.419,.681,1.100,2,.41,0.120,.46,0.08%,0.37,18.00,24.90,DH
29,730,29,Apr 27,LAD,@,TOR,W4-2,CG,5,5,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,.347,.410,.661,1.071,2,.65,0.021,.74,0.01%,0.06,5.00,6.50,DH
30,731,30,Apr 28,LAD,@,TOR,L1-3,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.336,.399,.639,1.038,2,1.36,-0.161,1.58,-0.11%,-1.15,0.00,0.00,DH
31,732,31,Apr 29,LAD,@,ARI,W8-4,CG,5,4,1,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,.341,.406,.635,1.041,2,1.13,-0.025,1.44,-0.02%,0.18,12.00,15.70,DH
32,733,32,Apr 30,LAD,@,ARI,L3-4,CG(10),5,5,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.336,.399,.618,1.017,2,1.74,-0.160,2.22,-0.12%,-1.22,3.00,3.00,DH
33,734,34 (1),May 3,LAD,,ATL,W4-3,CG(11),5,3,1,1,0,0,0,1,2,0,1,0,0,0,0,0,2,0,.336,.405,.612,1.017,2,1.61,0.434,2.03,0.33%,1.23,21.00,27.70,DH
34,735,35,May 4,LAD,,ATL,W11-2,CG,5,5,2,3,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.345,.411,.633,1.044,2,.44,0.120,.59,0.10%,2.36,24.00,31.40,DH
35,736,36,May 5,LAD,,ATL,W5-1,CG,4,4,2,4,0,0,2,3,0,0,0,0,0,0,0,0,0,0,.364,.426,.685,1.111,2,.59,0.190,.75,0.15%,3.13,36.00,46.90,DH
36,737,37,May 6,LAD,,MIA,W6-3,CG,4,3,1,2,0,0,1,2,1,0,1,0,0,0,0,0,2,0,.370,.434,.705,1.139,2,.76,0.191,.92,0.14%,2.70,31.00,40.20,DH
37,738,38,May 7,LAD,,MIA,W8-2,CG,4,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.365,.435,.696,1.131,2,.31,0.033,.37,0.02%,-0.01,6.00,9.20,DH
38,739,39,May 8,LAD,,MIA,W3-1,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.355,.425,.678,1.103,2,.59,-0.061,.71,-0.04%,-0.78,0.00,0.00,DH
39,740,40,May 10,LAD,@,SDP,L1-2,CG,4,4,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.359,.427,.679,1.106,2,1.73,0.239,2.26,0.19%,1.10,8.00,9.00,DH
40,741,41,May 11,LAD,@,SDP,W5-0,GS-9,4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.352,.423,.667,1.090,2,.91,0.004,1.27,0.00%,-0.27,4.00,6.20,DH
41,742,43 (1),May 13,LAD,@,SFG,W6-4,CG(10),5,5,0,2,0,0,0,1,0,0,2,0,0,0,0,0,1,0,.354,.422,.659,1.081,2,1.59,-0.022,2.03,-0.02%,0.52,13.00,15.50,DH
42,743,44,May 14,LAD,@,SFG,W10-2,CG,5,5,1,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,.361,.427,.680,1.108,2,.41,0.139,.52,0.11%,2.01,24.00,31.20,DH
43,744,45,May 15,LAD,@,SFG,L1-4,CG,5,4,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.364,.431,.676,1.108,2,.80,0.046,.98,0.03%,0.47,8.00,9.00,DH
44,745,46,May 16,LAD,,CIN,L2-7,GS-9,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,.360,.430,.669,1.099,2,.59,0.011,.68,0.01%,0.08,7.00,9.00,DH
45,746,47,May 17,LAD,,CIN,W7-3,CG,4,4,2,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.358,.426,.676,1.102,2,1.25,0.076,1.50,0.05%,0.80,18.00,25.40,DH
46,747,48,May 18,LAD,,CIN,W4-0,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.350,.418,.661,1.079,1,.83,-0.092,.99,-0.07%,-1.12,0.00,0.00,DH
47,748,49,May 19,LAD,,CIN,W3-2,CG(10),5,4,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,.353,.423,.658,1.080,2,1.80,0.413,2.03,0.28%,1.09,10.00,12.50,DH
48,749,50,May 20,LAD,,ARI,W6-4,CG,4,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,.347,.419,.647,1.067,2,.75,0.087,.93,0.07%,0.60,4.00,6.20,DH
49,750,51,May 21,LAD,,ARI,L3-7,CG,4,4,2,2,1,0,0,1,0,0,1,0,0,0,0,0,2,0,.351,.421,.649,1.070,2,1.29,0.170,1.48,0.12%,1.34,24.00,30.90,DH
50,751,52,May 22,LAD,,ARI,L0-6,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.348,.418,.641,1.059,2,1.18,-0.059,1.45,-0.04%,-0.50,3.00,3.00,DH
51,752,53,May 24,LAD,@,CIN,L6-9,CG,5,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.340,.409,.626,1.034,2,1.15,-0.107,1.35,-0.08%,-1.40,2.00,3.50,DH
52,753,54,May 25,LAD,@,CIN,L1-3,CG,4,4,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,.338,.406,.628,1.034,2,.87,0.046,1.04,0.03%,0.08,8.00,9.00,DH
53,754,55,May 26,LAD,@,CIN,L1-4,CG,4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.336,.403,.621,1.024,2,.60,-0.032,.75,-0.02%,-0.17,5.00,6.20,DH
54,755,56,May 28 (1),LAD,@,NYM,W5-2,CG(10),5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.329,.395,.606,1.002,2,1.70,-0.187,2.13,-0.14%,-1.31,0.00,0.00,DH
55,756,58 (1),May 29,LAD,@,NYM,W10-3,CG,5,5,1,2,0,0,1,3,0,0,1,0,0,0,0,0,0,0,.330,.395,.615,1.011,2,.88,0.018,1.09,0.01%,2.05,21.00,28.70,DH
56,757,59,May 31,LAD,,COL,L1-4,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.326,.393,.607,1.000,2,.72,-0.022,.84,-0.02%,-0.42,2.00,3.00,DH
57,758,60,Jun 1,LAD,,COL,W4-1,CG,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,.326,.395,.604,.998,2,.70,-0.036,.85,-0.03%,-0.18,10.00,12.00,DH
58,759,61,Jun 2,LAD,,COL,W4-0,CG,5,3,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,.322,.392,.596,.988,2,.49,-0.050,.57,-0.04%,-0.48,2.00,3.00,DH
59,760,62,Jun 4,LAD,@,PIT,L0-1,CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,.321,.390,.590,.980,2,1.33,-0.034,1.53,-0.02%,-0.72,3.00,3.00,DH
60,761,63,Jun 5,LAD,@,PIT,L6-10,CG,5,5,1,2,0,0,1,2,0,0,2,0,0,0,0,0,0,0,.322,.390,.598,.989,2,.60,0.019,.72,0.01%,1.34,19.00,25.20,DH
61,762,64,Jun 6,LAD,@,PIT,W11-7,CG,6,6,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.318,.385,.588,.973,2,.70,-0.038,.85,-0.03%,-0.97,5.00,6.20,DH
62,763,65,Jun 7,LAD,@,NYY,W2-1,CG(11),5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.312,.379,.576,.955,2,2.10,-0.273,2.41,-0.19%,-1.47,2.00,3.20,DH
63,764,66,Jun 8,LAD,@,NYY,W11-3,CG,5,4,2,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,.311,.379,.571,.950,2,.88,0.063,.97,0.04%,1.15,11.00,15.90,DH
64,765,67,Jun 9,LAD,@,NYY,L4-6,CG,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.310,.377,.570,.947,2,1.03,0.018,1.12,0.01%,0.05,7.00,9.20,DH
,,,,,,,39-25,,291,258,47,80,18,2,15,41,28,1,61,1,0,2,2,5,14,1,.310,.377,.570,.947,,1.01,1.362,1.17,1.03%,17.37,695.00,905.90,
