,player,date,IP,avgSO,Pit,Str,BA,OBP,SLG,OPS,SO
0,irvinja01,2023-09-15,5.066666666666666,4.666666666666667,90.0,52.333333333333336,0.238,0.317,0.381,0.698,1
1,irvinja01,2023-09-09,5.666666666666667,3.6666666666666665,88.0,52.333333333333336,0.257,0.342,0.459,0.8,6
2,irvinja01,2023-09-01,5.666666666666667,4.666666666666667,90.0,55.0,0.258,0.314,0.399,0.713,4
3,irvinja01,2023-08-26,6.066666666666666,5.333333333333333,96.33333333333333,62.333333333333336,0.259,0.315,0.4,0.715,4
4,irvinja01,2023-08-19,5.433333333333334,6.333333333333333,95.66666666666667,62.0,0.257,0.325,0.425,0.75,3
5,irvinja01,2023-08-12,5.133333333333333,4.666666666666667,95.0,60.666666666666664,0.221,0.3,0.36,0.66,7
6,irvinja01,2023-08-06,5.066666666666666,5.0,97.0,62.0,0.251,0.328,0.416,0.743,6
7,irvinja01,2023-07-31,5.766666666666667,6.0,102.66666666666667,68.0,0.233,0.312,0.377,0.689,6
8,irvinja01,2023-07-26,5.066666666666666,6.333333333333333,98.33333333333333,65.33333333333333,0.253,0.313,0.406,0.719,2
9,irvinja01,2023-07-21,4.733333333333333,4.333333333333333,89.66666666666667,59.333333333333336,0.244,0.32,0.402,0.722,7
10,irvinja01,2023-07-15,4.666666666666667,2.3333333333333335,82.33333333333333,53.0,0.255,0.329,0.429,0.758,9
11,irvinja01,2023-07-08,5.4,2.6666666666666665,87.0,56.333333333333336,0.274,0.342,0.462,0.804,3
12,irvinja01,2023-07-03,5.733333333333333,4.333333333333333,89.66666666666667,59.333333333333336,0.255,0.334,0.412,0.746,1
13,irvinja01,2023-06-27,5.4,4.666666666666667,89.33333333333333,59.0,0.23,0.308,0.387,0.696,3
14,irvinja01,2023-06-22,5.0,3.6666666666666665,86.0,58.333333333333336,0.264,0.331,0.437,0.769,4
15,irvinja01,2023-06-17,4.666666666666667,2.6666666666666665,88.33333333333333,58.333333333333336,0.256,0.32,0.395,0.715,6
16,irvinja01,2023-06-06,4.333333333333333,2.6666666666666665,84.33333333333333,52.333333333333336,0.261,0.327,0.431,0.758,4
17,irvinja01,2023-05-30,3.7333333333333334,2.6666666666666665,81.66666666666667,45.333333333333336,0.241,0.329,0.458,0.787,1
18,irvinja01,2023-05-25,3.466666666666667,3.6666666666666665,80.33333333333333,43.666666666666664,0.224,0.316,0.387,0.703,3
19,irvinja01,2023-05-19,4.166666666666667,4.0,85.66666666666667,49.333333333333336,0.229,0.295,0.355,0.65,4
20,irvinja01,2023-05-14,4.8,4.666666666666667,87.66666666666667,51.666666666666664,0.239,0.324,0.381,0.705,1
21,irvinja01,2023-05-08,5.1,4.0,86.5,49.5,0.241,0.32,0.425,0.745,6
22,irvinja01,2023-05-03,4.1,3.0,81.0,45.0,0.272,0.345,0.442,0.786,5
23,adonjo01,2022-06-17,4.366666666666666,4.0,84.33333333333333,50.666666666666664,0.252,0.321,0.427,0.749,5
24,adonjo01,2022-06-07,4.7,3.0,81.66666666666667,50.0,0.247,0.318,0.401,0.719,6
25,adonjo01,2022-06-02,5.1,3.6666666666666665,93.0,58.0,0.228,0.3,0.365,0.665,2
26,adonjo01,2022-05-28,4.8,3.0,88.33333333333333,58.0,0.263,0.326,0.399,0.725,4
27,adonjo01,2022-05-23,3.8666666666666667,2.6666666666666665,86.66666666666667,52.0,0.248,0.334,0.416,0.75,3
28,adonjo01,2022-05-17,4.133333333333334,3.3333333333333335,83.16666666666667,48.888888888888886,0.244,0.315,0.396,0.711,4
29,adonjo01,2022-05-12,4.066666666666666,4.333333333333333,83.83333333333333,47.55555555555556,0.254,0.334,0.378,0.711,2
30,adonjo01,2022-05-06,4.333333333333333,4.666666666666667,79.16666666666667,47.888888888888886,0.241,0.321,0.409,0.73,2
31,adonjo01,2022-04-30,4.7,4.333333333333333,81.5,48.666666666666664,0.24,0.314,0.388,0.702,6
32,adonjo01,2022-04-24,4.766666666666667,4.333333333333333,83.16666666666667,50.333333333333336,0.241,0.312,0.385,0.698,5
33,adonjo01,2022-04-19,4.8,4.333333333333333,88.5,51.0,0.156,0.277,0.265,0.543,3
34,adonjo01,2022-04-14,4.15,4.0,88.5,51.0,0.282,0.348,0.427,0.775,5
35,adonjo01,2022-04-09,4.1,3.0,86.0,47.0,0.318,0.425,0.458,0.883,5
36,grayjo03,2023-09-20,5.033333333333333,5.333333333333333,88.33333333333333,55.0,0.24,0.294,0.388,0.682,7
37,grayjo03,2023-09-14,4.033333333333333,4.666666666666667,79.0,49.666666666666664,0.237,0.313,0.39,0.703,4
38,grayjo03,2023-09-03,4.0,2.6666666666666665,83.33333333333333,45.666666666666664,0.26,0.315,0.402,0.717,10
39,grayjo03,2023-08-28,3.6666666666666665,3.3333333333333335,82.33333333333333,45.333333333333336,0.257,0.328,0.415,0.743,2
40,grayjo03,2023-08-22,4.4,4.333333333333333,92.0,52.666666666666664,0.229,0.305,0.398,0.703,2
41,grayjo03,2023-08-15,3.466666666666667,4.0,85.33333333333333,52.333333333333336,0.262,0.327,0.431,0.759,4
42,grayjo03,2023-08-08,4.466666666666667,4.0,93.0,56.666666666666664,0.255,0.322,0.418,0.74,4
43,grayjo03,2023-08-01,5.4,3.6666666666666665,91.33333333333333,56.666666666666664,0.232,0.311,0.376,0.688,5
44,grayjo03,2023-07-27,6.0,3.3333333333333335,96.0,60.666666666666664,0.237,0.317,0.399,0.716,3
45,grayjo03,2023-07-22,5.666666666666667,4.0,94.66666666666667,58.0,0.243,0.32,0.4,0.72,4
46,grayjo03,2023-07-16,5.333333333333333,5.333333333333333,98.66666666666667,62.0,0.256,0.33,0.431,0.761,4
47,grayjo03,2023-07-05,5.366666666666666,6.666666666666667,100.0,61.0,0.259,0.339,0.419,0.758,2
48,grayjo03,2023-06-30,5.366666666666666,6.666666666666667,100.0,64.0,0.256,0.32,0.415,0.735,6
49,grayjo03,2023-06-24,5.7,5.666666666666667,98.66666666666667,62.666666666666664,0.232,0.322,0.399,0.721,8
50,grayjo03,2023-06-19,5.666666666666667,5.666666666666667,97.66666666666667,62.0,0.248,0.323,0.424,0.747,6
51,grayjo03,2023-06-14,5.7,5.0,95.0,60.0,0.246,0.315,0.401,0.716,6
52,grayjo03,2023-06-09,4.7,4.666666666666667,93.66666666666667,57.0,0.264,0.335,0.467,0.802,5
53,grayjo03,2023-06-02,4.7,3.3333333333333335,91.0,54.333333333333336,0.254,0.318,0.41,0.728,6
54,grayjo03,2023-05-27,5.333333333333333,3.6666666666666665,94.33333333333333,58.333333333333336,0.231,0.295,0.383,0.679,4
55,grayjo03,2023-05-21,6.333333333333333,3.3333333333333335,95.0,58.333333333333336,0.227,0.295,0.351,0.646,4
56,grayjo03,2023-05-16,6.333333333333333,4.666666666666667,96.33333333333333,62.333333333333336,0.249,0.306,0.385,0.691,2
57,grayjo03,2023-05-10,6.0,5.0,96.66666666666667,60.0,0.242,0.321,0.426,0.747,5
58,grayjo03,2023-05-05,5.666666666666667,7.0,96.0,61.0,0.264,0.319,0.428,0.747,3
59,grayjo03,2023-04-30,5.666666666666667,6.0,98.0,60.333333333333336,0.264,0.343,0.449,0.792,6
60,grayjo03,2023-04-25,5.4,5.0,97.33333333333333,57.666666666666664,0.238,0.333,0.385,0.719,6
61,grayjo03,2023-04-18,5.4,4.0,101.0,59.0,0.255,0.352,0.438,0.791,9
62,grayjo03,2023-04-11,5.4,4.333333333333333,97.33333333333333,57.0,0.24,0.333,0.412,0.746,3
63,grayjo03,2023-04-06,5.5,5.0,94.5,58.0,0.244,0.293,0.387,0.68,3
64,grayjo03,2023-04-01,5.0,4.0,87.0,52.0,0.307,0.373,0.493,0.867,6
65,grayjo03,2022-09-23,4.7,3.3333333333333335,89.88888888888889,54.44444444444444,0.23,0.295,0.363,0.658,2
66,grayjo03,2022-09-16,4.366666666666667,3.0,90.88888888888889,52.77777777777778,0.229,0.294,0.361,0.655,3
67,grayjo03,2022-09-08,4.366666666666667,2.6666666666666665,93.66666666666667,53.333333333333336,0.258,0.329,0.43,0.759,4
68,grayjo03,2022-09-02,5.333333333333333,5.0,100.66666666666667,59.333333333333336,0.257,0.328,0.408,0.737,3
69,grayjo03,2022-08-20,5.7,6.0,101.0,62.0,0.24,0.319,0.379,0.698,2
70,grayjo03,2022-08-15,5.366666666666666,6.333333333333333,93.33333333333333,59.0,0.244,0.318,0.395,0.713,3
71,grayjo03,2022-08-10,5.033333333333333,5.0,90.0,54.0,0.244,0.317,0.391,0.708,10
72,grayjo03,2022-08-05,4.666666666666667,5.333333333333333,89.33333333333333,50.333333333333336,0.247,0.311,0.418,0.728,5
