,IP,Pit,Str,BA,OBP,SLG,OPS,SO
0,4.2,102.0,58.0,0.238,0.317,0.381,0.698,1.0
1,6.0,88.0,55.0,0.257,0.342,0.459,0.8,6.0
2,5.0,80.0,44.0,0.258,0.314,0.399,0.713,4.0
3,6.0,96.0,58.0,0.259,0.315,0.4,0.715,4.0
4,6.0,94.0,63.0,0.257,0.325,0.425,0.75,3.0
5,6.2,99.0,66.0,0.221,0.3,0.36,0.66,7.0
6,4.1,94.0,57.0,0.251,0.328,0.416,0.743,6.0
7,5.1,92.0,59.0,0.233,0.312,0.377,0.689,6.0
8,6.0,105.0,70.0,0.253,0.313,0.406,0.719,2.0
9,6.2,111.0,75.0,0.244,0.32,0.402,0.722,7.0
10,3.0,79.0,51.0,0.255,0.329,0.429,0.758,9.0
11,5.0,79.0,52.0,0.274,0.342,0.462,0.804,3.0
12,6.0,89.0,56.0,0.255,0.334,0.412,0.746,1.0
13,5.2,93.0,61.0,0.23,0.308,0.387,0.696,3.0
14,6.0,87.0,61.0,0.264,0.331,0.437,0.769,4.0
15,5.0,88.0,55.0,0.256,0.32,0.395,0.715,6.0
16,4.0,83.0,59.0,0.261,0.327,0.431,0.758,4.0
17,5.0,94.0,61.0,0.241,0.329,0.458,0.787,1.0
18,4.0,76.0,37.0,0.224,0.316,0.387,0.703,3.0
19,2.2,75.0,38.0,0.229,0.295,0.355,0.65,4.0
20,4.2,90.0,56.0,0.239,0.324,0.381,0.705,1.0
21,6.1,92.0,54.0,0.241,0.32,0.425,0.745,6.0
22,4.1,81.0,45.0,0.272,0.345,0.442,0.786,5.0
23,5.0,97.0,64.0,0.252,0.321,0.427,0.749,5.0
24,3.0,58.0,34.0,0.247,0.318,0.401,0.719,6.0
25,5.1,98.0,54.0,0.228,0.3,0.365,0.665,2.0
26,6.0,89.0,62.0,0.263,0.326,0.399,0.725,4.0
27,4.2,92.0,58.0,0.248,0.334,0.416,0.75,3.0
28,4.2,84.0,54.0,0.244,0.315,0.396,0.711,4.0
29,3.2,84.0,44.0,0.254,0.334,0.378,0.711,2.0
30,5.0,80.0,50.0,0.241,0.321,0.409,0.73,2.0
31,4.0,86.0,50.0,0.24,0.314,0.388,0.702,6.0
32,4.0,70.0,45.0,0.241,0.312,0.385,0.698,5.0
33,6.1,80.0,50.0,0.156,0.277,0.265,0.543,3.0
34,4.2,91.0,55.0,0.282,0.348,0.427,0.775,5.0
35,4.1,86.0,47.0,0.318,0.425,0.458,0.883,5.0
36,5.0,91.0,52.0,0.24,0.294,0.388,0.682,7.0
37,6.1,88.0,62.0,0.237,0.313,0.39,0.703,4.0
38,4.0,86.0,51.0,0.26,0.315,0.402,0.717,10.0
39,2.0,63.0,36.0,0.257,0.328,0.415,0.743,2.0
40,6.0,101.0,50.0,0.229,0.305,0.398,0.703,2.0
41,3.0,83.0,50.0,0.262,0.327,0.431,0.759,4.0
42,4.2,92.0,58.0,0.255,0.322,0.418,0.74,4.0
43,3.2,81.0,49.0,0.232,0.311,0.376,0.688,5.0
44,6.0,106.0,63.0,0.237,0.317,0.399,0.716,3.0
45,7.0,87.0,58.0,0.243,0.32,0.4,0.72,4.0
46,5.0,95.0,61.0,0.256,0.33,0.431,0.761,4.0
47,5.0,102.0,55.0,0.259,0.339,0.419,0.758,2.0
48,6.0,99.0,70.0,0.256,0.32,0.415,0.735,6.0
49,5.1,99.0,58.0,0.232,0.322,0.399,0.721,8.0
50,5.0,102.0,64.0,0.248,0.323,0.424,0.747,6.0
51,7.0,95.0,66.0,0.246,0.315,0.401,0.716,6.0
52,5.0,96.0,56.0,0.264,0.335,0.467,0.802,5.0
53,5.1,94.0,58.0,0.254,0.318,0.41,0.728,6.0
54,4.0,91.0,57.0,0.231,0.295,0.383,0.679,4.0
55,5.0,88.0,48.0,0.227,0.295,0.351,0.646,4.0
56,7.0,104.0,70.0,0.249,0.306,0.385,0.691,2.0
57,7.0,93.0,57.0,0.242,0.321,0.426,0.747,5.0
58,5.0,92.0,60.0,0.264,0.319,0.428,0.747,3.0
59,6.0,105.0,63.0,0.264,0.343,0.449,0.792,6.0
60,6.0,91.0,60.0,0.238,0.333,0.385,0.719,6.0
61,5.0,98.0,58.0,0.255,0.352,0.438,0.791,9.0
62,5.2,103.0,55.0,0.24,0.333,0.412,0.746,3.0
63,6.0,102.0,64.0,0.244,0.293,0.387,0.68,3.0
64,5.0,87.0,52.0,0.307,0.373,0.493,0.867,6.0
65,6.0,92.0,61.0,0.23,0.295,0.363,0.658,2.0
66,5.0,80.0,50.0,0.229,0.294,0.361,0.655,3.0
67,3.1,84.0,49.0,0.258,0.329,0.43,0.759,4.0
68,5.0,95.0,56.0,0.257,0.328,0.408,0.737,3.0
69,5.0,102.0,55.0,0.24,0.319,0.379,0.698,2.0
70,6.0,105.0,67.0,0.244,0.318,0.395,0.713,3.0
71,6.1,96.0,64.0,0.244,0.317,0.391,0.708,10.0
72,4.0,79.0,46.0,0.247,0.311,0.418,0.728,5.0
73,5.0,95.0,52.0,0.251,0.321,0.407,0.728,4.0
74,5.0,94.0,53.0,0.255,0.334,0.44,0.774,6.0
75,5.0,97.0,57.0,0.234,0.317,0.388,0.705,6.0
76,6.0,100.0,67.0,0.248,0.317,0.42,0.738,7.0
77,5.2,95.0,62.0,0.245,0.311,0.397,0.707,11.0
78,7.0,94.0,61.0,0.235,0.295,0.39,0.685,6.0
79,6.0,117.0,66.0,0.25,0.321,0.424,0.745,9.0
80,5.0,101.0,69.0,0.247,0.318,0.398,0.716,4.0
81,6.0,91.0,51.0,0.227,0.3,0.365,0.665,6.0
82,5.0,93.0,56.0,0.263,0.326,0.399,0.726,9.0
83,3.0,80.0,47.0,0.248,0.336,0.42,0.756,3.0
84,6.0,95.0,65.0,0.243,0.314,0.395,0.709,5.0
85,6.0,94.0,59.0,0.223,0.305,0.396,0.701,7.0
86,5.1,83.0,49.0,0.24,0.319,0.408,0.727,5.0
87,6.0,80.0,50.0,0.237,0.315,0.379,0.694,3.0
88,5.2,98.0,66.0,0.242,0.326,0.384,0.71,3.0
89,5.1,87.0,50.0,0.156,0.277,0.265,0.543,10.0
90,5.0,82.0,50.0,0.238,0.342,0.39,0.732,8.0
91,4.0,80.0,47.0,0.347,0.453,0.486,0.94,5.0
92,6.1,80.0,50.0,0.243,0.321,0.407,0.728,2.0
93,4.1,84.0,54.0,0.227,0.307,0.397,0.704,7.0
94,5.0,80.0,50.0,0.241,0.319,0.4,0.719,5.0
95,6.2,101.0,70.0,0.24,0.336,0.411,0.747,4.0
96,6.1,88.0,57.0,0.229,0.316,0.392,0.708,11.0
97,7.0,101.0,68.0,0.232,0.301,0.367,0.668,7.0
98,5.0,67.0,50.0,0.232,0.312,0.379,0.691,8.0
99,8.0,108.0,72.0,0.23,0.316,0.409,0.725,5.0
100,6.0,92.0,58.0,0.236,0.31,0.384,0.694,9.0
101,5.0,87.0,56.0,0.234,0.316,0.436,0.752,4.0
102,4.0,55.0,38.0,0.249,0.324,0.429,0.753,7.0
103,3.2,78.0,52.0,0.239,0.322,0.409,0.731,4.0
104,4.0,80.0,50.0,0.239,0.319,0.407,0.726,3.0
105,5.0,80.0,50.0,0.222,0.32,0.381,0.701,5.0
106,5.1,80.0,50.0,0.237,0.323,0.427,0.75,7.0
107,6.0,91.0,59.0,0.247,0.33,0.374,0.704,3.0
108,4.1,80.0,50.0,0.228,0.312,0.408,0.719,4.0
109,6.0,80.0,50.0,0.228,0.316,0.375,0.691,5.0
110,5.0,80.0,50.0,0.295,0.392,0.474,0.865,5.0
111,5.0,80.0,50.0,0.248,0.327,0.427,0.754,0.0
112,5.2,91.0,52.0,0.247,0.315,0.415,0.73,2.0
113,6.0,80.0,50.0,0.235,0.302,0.374,0.676,7.0
114,5.0,92.0,58.0,0.242,0.32,0.433,0.753,6.0
115,5.1,89.0,59.0,0.241,0.319,0.408,0.728,7.0
116,5.0,68.0,49.0,0.235,0.312,0.379,0.691,5.0
117,4.1,80.0,50.0,0.234,0.318,0.4,0.718,7.0
118,4.0,77.0,50.0,0.242,0.322,0.431,0.753,6.0
119,1.0,14.0,8.0,0.235,0.314,0.384,0.698,3.0
120,5.0,90.0,55.0,0.243,0.321,0.407,0.728,0.0
121,5.1,76.0,51.0,0.227,0.307,0.397,0.704,3.0
122,5.0,79.0,51.0,0.237,0.302,0.395,0.697,6.0
123,5.0,80.0,50.0,0.234,0.302,0.373,0.675,6.0
124,2.1,51.0,31.0,0.245,0.328,0.411,0.739,3.0
125,3.2,73.0,51.0,0.243,0.327,0.434,0.761,2.0
126,4.1,80.0,50.0,0.239,0.336,0.411,0.747,1.0
127,5.0,80.0,50.0,0.23,0.309,0.372,0.68,2.0
128,2.0,41.0,26.0,0.233,0.302,0.37,0.672,3.0
129,1.0,8.0,6.0,0.242,0.314,0.395,0.709,2.0
130,5.0,53.0,39.0,0.228,0.297,0.351,0.648,0.0
131,3.1,56.0,38.0,0.233,0.319,0.417,0.737,2.0
132,1.0,18.0,13.0,0.229,0.317,0.392,0.709,5.0
133,1.1,27.0,18.0,0.237,0.311,0.386,0.697,2.0
134,1.0,14.0,11.0,0.234,0.315,0.432,0.747,0.0
135,1.0,18.0,12.0,0.234,0.316,0.435,0.75,2.0
136,1.0,20.0,13.0,0.212,0.298,0.358,0.656,1.0
137,1.0,19.0,14.0,0.234,0.318,0.404,0.722,1.0
138,2.0,19.0,13.0,0.236,0.316,0.402,0.718,1.0
139,1.2,80.0,50.0,0.234,0.306,0.384,0.69,1.0
140,2.0,80.0,50.0,0.234,0.32,0.424,0.745,1.0
141,1.0,80.0,50.0,0.237,0.323,0.427,0.75,1.0
142,1.0,14.0,7.0,0.23,0.3,0.375,0.675,0.0
143,1.0,11.0,7.0,0.247,0.33,0.374,0.704,1.0
144,4.1,80.0,50.0,0.221,0.309,0.386,0.695,0.0
145,5.0,104.0,62.0,0.254,0.317,0.422,0.739,1.0
146,5.2,94.0,57.0,0.231,0.295,0.364,0.659,3.0
147,4.0,87.0,56.0,0.229,0.293,0.361,0.655,4.0
148,3.2,79.0,42.0,0.255,0.317,0.425,0.743,3.0
149,6.0,101.0,65.0,0.256,0.327,0.406,0.732,1.0
150,2.2,76.0,46.0,0.216,0.28,0.344,0.624,2.0
151,5.0,81.0,52.0,0.233,0.315,0.385,0.701,4.0
152,4.2,99.0,58.0,0.226,0.305,0.386,0.691,6.0
153,5.1,85.0,46.0,0.234,0.317,0.388,0.705,3.0
154,3.0,75.0,45.0,0.25,0.316,0.446,0.762,1.0
155,6.0,106.0,64.0,0.244,0.311,0.397,0.708,1.0
156,5.0,100.0,55.0,0.22,0.288,0.364,0.652,6.0
157,6.0,97.0,59.0,0.229,0.297,0.374,0.671,4.0
158,5.1,111.0,64.0,0.249,0.316,0.444,0.76,4.0
159,5.2,98.0,55.0,0.23,0.306,0.394,0.7,4.0
160,4.2,86.0,52.0,0.228,0.3,0.367,0.667,4.0
161,1.1,52.0,35.0,0.264,0.336,0.407,0.744,1.0
162,6.0,90.0,58.0,0.246,0.335,0.416,0.751,0.0
163,5.2,97.0,59.0,0.235,0.313,0.412,0.725,6.0
164,4.0,82.0,46.0,0.226,0.308,0.401,0.709,4.0
165,5.0,97.0,53.0,0.24,0.322,0.403,0.725,6.0
166,7.0,102.0,66.0,0.262,0.334,0.426,0.76,4.0
167,4.2,91.0,55.0,0.237,0.324,0.376,0.7,3.0
168,3.1,80.0,55.0,0.168,0.282,0.281,0.563,5.0
169,5.0,96.0,59.0,0.265,0.33,0.395,0.725,3.0
170,5.0,87.0,54.0,0.293,0.396,0.429,0.825,6.0
171,1.0,20.0,11.0,0.249,0.317,0.414,0.731,1.0
172,4.2,96.0,57.0,0.249,0.328,0.428,0.755,1.0
173,5.0,80.0,50.0,0.234,0.301,0.375,0.676,1.0
174,5.0,80.0,50.0,0.234,0.301,0.374,0.674,5.0
175,6.0,80.0,50.0,0.242,0.32,0.435,0.755,8.0
176,3.0,80.0,50.0,0.238,0.314,0.386,0.7,7.0
177,5.1,80.0,50.0,0.236,0.313,0.383,0.696,2.0
178,6.1,103.0,69.0,0.236,0.303,0.376,0.679,6.0
179,5.0,94.0,54.0,0.265,0.328,0.457,0.786,10.0
180,4.0,68.0,41.0,0.238,0.315,0.387,0.703,4.0
181,4.2,80.0,50.0,0.243,0.323,0.429,0.752,4.0
182,6.0,80.0,50.0,0.227,0.306,0.398,0.704,3.0
183,4.2,86.0,53.0,0.241,0.318,0.401,0.719,8.0
184,6.0,84.0,52.0,0.234,0.301,0.372,0.673,4.0
