SO,IP,avgSO,Pit,Str,BA,OBP,SLG,OPS
3,6,3,88,58,0.235,0.292,0.359,0.651
9,7,6,88,58,0.238,0.306,0.378,0.685
5,6.333333333333333,5.666666666666667,90.33333333333333,58.666666666666664,0.232,0.303,0.425,0.728
5,5.4,6.333333333333333,97.33333333333333,59.333333333333336,0.268,0.362,0.449,0.811
5,5.066666666666666,5,103.33333333333333,61.333333333333336,0.231,0.304,0.372,0.676
2,5.1,4,101.66666666666667,59.666666666666664,0.257,0.34,0.445,0.785
2,5.366666666666666,3,96.66666666666667,57.333333333333336,0.256,0.336,0.437,0.773
5,5.366666666666666,3,92.33333333333333,57.666666666666664,0.259,0.335,0.438,0.773
4,5.366666666666666,3.6666666666666665,93.11111111111111,58.55555555555556,0.223,0.286,0.373,0.659
0,4.433333333333334,3,82.77777777777777,51.888888888888886,0.228,0.287,0.403,0.691
5,4.166666666666667,3,79.37037037037037,47.51851851851852,0.256,0.318,0.45,0.768
10,4.866666666666667,5,75.04938271604938,44.135802469135804,0.247,0.321,0.415,0.737
3,6.8,6,85.71604938271605,52.46913580246913,0.219,0.286,0.38,0.665
5,7.133333333333334,6,89.12345679012346,57.50617283950617,0.244,0.322,0.418,0.741
5,6.733333333333333,4.333333333333333,92.37448559670781,60.83539094650206,0.272,0.333,0.465,0.798
9,6.4,6.333333333333333,93.37448559670781,62.50205761316872,0.224,0.291,0.369,0.659
2,5.666666666666667,5.333333333333333,87.70781893004116,57.16872427983539,0.224,0.291,0.371,0.663
2,5.666666666666667,4.333333333333333,88,59.333333333333336,0.266,0.346,0.472,0.818
5,5.333333333333333,3,87.33333333333333,57,0.243,0.318,0.399,0.717
6,6,4.333333333333333,91.11111111111111,59,0.248,0.327,0.449,0.777
4,4.7,5,82.11111111111111,51.666666666666664,0.243,0.303,0.407,0.71
4,5.033333333333333,4.666666666666667,77.48148148148148,50.22222222222222,0.239,0.295,0.363,0.658
4,4.7,4,74.19753086419753,47.96296296296296,0.246,0.323,0.421,0.743
